第一申请人,第一申请人地区,第一申请人城市,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,first_applicant_types
中国科学院大连化学物理研究所,中国,大连市,2021,2,10,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,2,0,0,科研单位
中国科学院微小卫星创新研究院,中国,上海市,2021,4,14,3.5,量子传感；量子通信与安全,量子计量/时间频率/PNT候选；量子通信与安全,原子钟；量子通信,0,1,0,3,科研单位
中国科学院武汉物理与数学研究所,中国,武汉市,2021,2,8,4.0,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,冷原子干涉；冷原子干涉仪；原子干涉；原子干涉仪；原子频标,0,1,0,1,科研单位
中国科学院物理研究所,中国,北京市,2021,2,29,14.5,量子计算硬件,量子计算硬件/量子芯片,自旋量子比特；超导量子电路；量子比特；量子电路；量子计算,2,0,0,0,科研单位
中国科学院精密测量科学与技术创新研究院,中国,武汉市,2021,6,25,4.166666666666667,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,MOT；冷原子干涉；冷原子干涉仪；原子干涉；原子干涉仪；原子钟；原子频标；激光器；磁光阱,0,3,0,3,"科研单位；科研单位,学校"
中国科学院自动化研究所,中国,北京市,2021,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,科研单位
中国科学院苏州纳米技术与纳米仿生研究所,中国,苏州市,2021,2,13,6.5,量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统,超导量子比特；量子比特；量子线路,1,0,1,0,科研单位
中国科学院西安光学精密机械研究所,中国,西安市,2021,1,5,5.0,量子传感,量子传感器/精密测量,冷原子干涉；原子干涉,0,1,0,0,科研单位
中国科学院软件研究所,中国,北京市,2021,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,科研单位
中国科学院重庆绿色智能技术研究院,中国,重庆市,2021,2,10,5.0,量子通信与安全,量子通信与安全,抗量子攻击,0,2,0,0,科研单位
中国移动通信有限公司研究院,中国,北京市,2021,4,25,6.25,量子通信与安全,量子通信与安全,量子密钥；量子网络,1,3,0,0,企业
中国联合网络通信集团有限公司,中国,北京市,2021,1,14,14.0,量子通信与安全,量子通信与安全,量子密钥；量子算法；量子计算；量子计算机,1,0,0,0,企业
中国航空工业集团公司济南特种结构研究所,中国,济南市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,企业
中国航空工业集团公司西安飞行自动控制研究所,中国,西安市,2021,1,6,6.0,量子传感,量子传感器/精密测量,激光器；磁光阱,0,1,0,0,企业
中国船舶重工集团公司第七0七研究所,中国,天津市,2021,1,5,5.0,量子传感,量子传感器/精密测量,冷原子干涉；冷原子干涉仪；原子干涉；原子干涉仪,0,1,0,0,企业
中国船舶重工集团公司第七一七研究所,中国,武汉市,2021,2,10,5.0,量子传感,量子传感器/精密测量,冷原子干涉；冷原子干涉仪；原子干涉；原子干涉仪；磁光阱,0,2,0,0,企业
中国计量大学,中国,杭州市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,学校
中国计量科学研究院,中国,北京市,2021,10,45,4.5,量子传感；量子基础概念；量子计算硬件,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计量/时间频率/PNT候选,光钟；原子钟；原子钟频率；时间频率传递；离子阱；里德堡原子量子；量子测量；量子相干,1,4,1,4,科研单位
中国运载火箭技术研究院,中国,北京市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子保密通信,0,1,0,0,企业
中山大学,中国,广州市,2021,1,6,6.0,量子通信与安全,量子通信与安全,光调制器；激光器；量子密钥；量子密钥分发,0,1,0,0,学校
中科问天量子科技(天津)有限公司,中国,天津市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业
中车青岛四方车辆研究所有限公司,中国,青岛市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业
之江实验室,中国,杭州市,2021,3,16,5.333333333333333,量子传感；量子基础概念；量子计算硬件,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片,激光器；离子阱；量子态；量子精密测量,0,2,1,0,"科研单位；科研单位,学校"
云领电气智能科技(苏州)有限公司,中国,苏州市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,企业
佛山科学技术学院,中国,佛山市,2021,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,学校
全球能源互联网研究院,中国,北京市,2021,1,9,9.0,量子计算,量子计算系统,量子相干；量子门,1,0,0,0,企业
全球能源互联网研究院有限公司,中国,北京市,2021,3,15,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分配；量子通信,0,3,0,0,企业
军事科学院系统工程研究院网络信息研究所,中国,北京市,2021,2,23,11.5,量子通信与安全,量子通信与安全,单光子探测器；量子密钥；量子密钥分发；量子网络；量子通信,2,0,0,0,科研单位
北京中创为南京量子通信技术有限公司,中国,南京市,2021,10,56,5.6,量子通信与安全,量子通信与安全,QKD；激光器；量子密钥；量子密钥分发；量子态；量子通信,1,9,0,0,企业
北京交通大学,中国,北京市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,学校
北京信息科学技术研究院,中国,北京市,2021,1,5,5.0,量子计算,量子计算系统,量子计算；量子计算机,0,1,0,0,科研单位
北京信息科技大学,中国,北京市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,学校
北京信而泰科技股份有限公司,中国,北京市,2021,2,17,8.5,量子通信与安全,量子通信与安全,保真度；量子密钥；量子通信,1,1,0,0,企业
北京先声教育科技有限公司,中国,北京市,2021,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,企业
北京卫星导航中心,中国,北京市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟频率,0,0,0,1,其他
北京四方继保自动化股份有限公司,中国,北京市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业
北京大学,中国,北京市,2021,6,52,8.666666666666666,量子传感；量子计算；量子计算硬件；量子通信与安全,量子计算硬件/量子芯片；量子计算系统；量子计量/时间频率/PNT候选；量子通信与安全,光钟；原子钟；叠加态；拓扑量子比特；稀释制冷机；超导量子比特；量子信息；量子密钥；量子密钥分发；量子态；量子比特；量子芯片；量子计算；铯原子钟；频率标准,2,2,0,2,学校
北京天融信网络安全技术有限公司,中国,北京市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业
北京安御道合科技有限公司,中国,北京市,2021,1,10,10.0,量子通信与安全,量子通信与安全,量子密钥；量子网络,1,0,0,0,企业
北京无线电计量测试研究所,中国,北京市,2021,11,38,3.4545454545454546,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,原子钟；原子钟频率；原子频标；时间频率传递；氢原子钟；量子测量；铯原子钟；频率基准,0,1,0,10,科研单位
北京星际荣耀空间科技有限公司,中国,北京市,2021,1,5,5.0,量子计算,量子计算系统,量子电路,0,1,0,0,企业
北京玻色量子科技有限公司,中国,北京市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分配,0,1,0,0,企业
北京理工大学,中国,北京市,2021,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,学校
北京百度网讯科技有限公司,中国,北京市,2021,41,586,14.292682926829269,量子传感；量子计算；量子计算硬件；量子通信与安全,量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子软件/算法/模拟；量子通信与安全,保真度；物理量子比特；超导量子芯片；逻辑量子比特；量子仿真；量子信息；量子安全通信；量子并行；量子态；量子技术；量子模拟；量子比特；量子测量；量子电路；量子纠缠；量子线路；量子芯片；量子计算；量子计算机；量子通信；量子门,36,5,0,0,企业
北京自动化控制设备研究所,中国,北京市,2021,1,5,5.0,量子传感,量子传感器/精密测量,量子传感；量子传感器,0,1,0,0,科研单位
北京航天时代光电科技有限公司,中国,北京市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业
北京航空航天大学,中国,北京市,2021,11,108,9.818181818181818,量子传感；量子计算,其他量子相关/待复核；量子传感器/精密测量；量子计算系统；量子计量/时间频率/PNT候选,NV色心；光调制器；激光器；量子传感；量子态；量子技术；量子机器学习；量子比特；量子测量；量子电路；量子精密测量；量子计算；量子计算机；量子门；金刚石NV色心；频率基准,4,6,0,1,"学校；科研单位,学校"
北京邮电大学,中国,北京市,2021,20,114,5.7,量子通信与安全,量子通信与安全,QKD；单光子探测器；激光器；量子保密通信；量子密钥；量子密钥分发；量子网络；量子通信,3,17,0,0,"企业,学校；学校；科研单位,学校"
北京量子信息科学研究院,中国,北京市,2021,1,12,12.0,量子计算,量子计算系统,量子态；量子线路；量子计算,1,0,0,0,科研单位
北斗天汇(北京)科技有限公司,中国,北京市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业
北方工业大学,中国,北京市,2021,2,40,20.0,量子通信与安全,量子通信与安全,保真度；量子中继；量子中继器；量子信息；量子态；量子纠缠；量子网络；量子计算；量子门,2,0,0,0,学校
华东交通大学,中国,南昌市,2021,4,42,10.5,量子传感；量子计算,量子计算系统；量子软件/算法/模拟,叠加态；量子信息；量子叠加；量子并行；量子态；量子比特；量子线路；量子计算；量子门,3,1,0,0,学校
华东师范大学,中国,上海市,2021,6,46,7.666666666666667,量子传感；量子基础概念；量子计算硬件,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计量/时间频率/PNT候选,光钟；离子阱；量子态；量子技术；量子测量；量子计算,3,2,1,0,学校
华东计算技术研究所(中国电子科技集团公司第三十二研究所),中国,上海市,2021,2,24,12.0,量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统,超导量子芯片；量子态；量子比特；量子芯片；量子计算；量子计算机,1,1,0,0,企业
华中光电技术研究所(中国船舶重工集团公司第七一七研究所),中国,武汉市,2021,2,12,6.0,量子传感,量子传感器/精密测量,光调制器；冷原子干涉；冷原子干涉仪；原子干涉；原子干涉仪,0,2,0,0,企业
华中科技大学,中国,武汉市,2021,3,29,9.666666666666666,量子传感；量子通信与安全,量子传感器/精密测量；量子通信与安全,原子干涉；量子信息；量子信息技术；量子密钥；量子态；量子比特；量子网络,1,2,0,0,学校
华为技术有限公司,中国,深圳市,2021,9,87,9.666666666666666,量子传感；量子计算；量子计算硬件；量子通信与安全,量子计算硬件/量子芯片；量子计算系统；量子通信与安全,QKD；保真度；激光器；离子阱；量子信息；量子密钥；量子密钥分发；量子态；量子比特；量子计算；量子通信,6,3,0,0,企业
华北电力大学,中国,北京市,2021,3,33,11.0,量子通信与安全,量子通信与安全,QKD；量子信息；量子密钥；量子密钥分发；量子态；量子测量,2,1,0,0,学校
华北电力大学(保定),中国,保定市,2021,1,4,4.0,量子计算,量子软件/算法/模拟,量子并行,0,0,1,0,学校
华南师范大学,中国,广州市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分配,0,1,0,0,学校
南京信息工程大学,中国,南京市,2021,5,51,10.2,量子基础概念；量子计算；量子通信与安全,其他量子相关/待复核；量子计算系统；量子通信与安全,叠加态；量子叠加；量子态；量子比特；量子电路；量子计算；量子通信；量子门,3,1,1,0,学校
南京南瑞国盾量子技术有限公司,中国,南京市,2021,3,20,6.666666666666667,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子密钥分配；量子比特,1,2,0,0,企业
南京大学,中国,南京市,2021,6,33,5.5,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,QKD；量子互联网；量子密钥；量子密钥分发；量子态；量子纠缠；量子通信,1,3,2,0,"企业,学校；学校"
南京工程学院,中国,南京市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子网络,0,1,0,0,学校
南京师范大学,中国,南京市,2021,1,4,4.0,量子基础概念,其他量子相关/待复核,叠加态,0,0,1,0,学校
南京昆腾科技有限公司,中国,南京市,2021,1,6,6.0,量子传感,量子传感器/精密测量,NV色心；光调制器,0,1,0,0,企业
南京易科腾信息技术有限公司,中国,南京市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,企业
南京航空航天大学,中国,南京市,2021,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,学校
南京邮电大学,中国,南京市,2021,5,55,11.0,量子传感；量子通信与安全,量子传感器/精密测量；量子通信与安全,NV色心；QKD；激光器；量子密钥；量子密钥分发；量子态；量子网络；量子通信,4,1,0,0,学校
南方电网调峰调频发电有限公司信息通信分公司,中国,广州市,2021,1,10,10.0,量子通信与安全,量子通信与安全,量子保密通信；量子密钥,1,0,0,0,企业
南昌大学,中国,南昌市,2021,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,学校
叶志刚,中国,宿州市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,个人
合肥本源量子计算科技有限责任公司,中国,合肥市,2021,23,248,10.782608695652174,量子传感；量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统；量子软件/算法/模拟,保真度；超导量子比特；超导量子芯片；量子态；量子技术；量子比特；量子算法；量子线路；量子芯片；量子计算；量子计算机；量子门,19,4,0,0,企业
吉林大学,中国,长春市,2021,3,14,4.666666666666667,量子传感；量子基础概念；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子通信与安全,MOT；量子态；量子通信,0,2,1,0,学校
吉林工程技术师范学院,中国,长春市,2021,1,10,10.0,量子通信与安全,量子通信与安全,量子密钥；量子通信,1,0,0,0,学校
吴宁飞,中国,南京市,2021,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,个人
哈尔滨久霆科技有限公司,中国,哈尔滨市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,企业
哈尔滨工业大学,中国,哈尔滨市,2021,7,56,8.0,量子传感；量子通信与安全,上游材料与核心部件；量子传感器/精密测量；量子计算系统；量子通信与安全,冷原子干涉；原子干涉；激光器；量子信息；量子信息技术；量子密钥；量子密钥分发；量子通信；量子门,4,3,0,0,学校
哈尔滨工业大学(深圳),中国,深圳市,2021,1,10,10.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子比特,1,0,0,0,学校
哈尔滨工程大学,中国,哈尔滨市,2021,3,27,9.0,量子传感,量子传感器/精密测量；量子计算系统；量子计量/时间频率/PNT候选,NV色心；量子信息；量子态；量子比特；量子计算；频率标准,1,1,0,1,学校
商丘师范学院,中国,商丘市,2021,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,学校
四川大学,中国,成都市,2021,3,14,4.666666666666667,量子基础概念；量子计算,其他量子相关/待复核；量子计算系统,量子态；量子比特；量子门,0,2,1,0,学校
四川师范大学,中国,成都市,2021,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,学校
四川泰富地面北斗科技股份有限公司,中国,成都市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,光钟；时间频率传递；频率基准,0,0,0,1,企业
四川航天系统工程研究所,中国,成都市,2021,1,8,8.0,量子通信与安全,量子通信与安全,单光子探测器；量子密钥；量子密钥分发,1,0,0,0,科研单位
四川长虹电器股份有限公司,中国,绵阳市,2021,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业
国家电网有限公司,中国,北京市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业
国富瑞数据系统有限公司,中国,北京市,2021,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,企业
国开启科量子技术(北京)有限公司,中国,北京市,2021,11,74,6.7272727272727275,量子通信与安全,量子通信与安全,单光子探测器；激光器；量子密钥；量子密钥分发；量子通信,1,10,0,0,企业
国科量子通信网络有限公司,中国,上海市,2021,8,54,6.75,量子通信与安全,量子通信与安全,QKD；单光子探测器；抗量子攻击；激光器；量子密钥；量子密钥分发；量子通信,3,5,0,0,"企业；企业,学校"
国网内蒙古东部电力有限公司信息通信分公司,中国,呼和浩特市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0,企业
国网新疆电力有限公司经济技术研究院,中国,乌鲁木齐市,2021,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业
国网江苏省电力有限公司南京供电分公司,中国,南京市,2021,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业
国网浙江省电力有限公司杭州供电公司,中国,杭州市,2021,2,10,5.0,量子通信与安全,量子通信与安全,量子密钥,0,2,0,0,企业
国网湖北省电力有限公司电力科学研究院,中国,武汉市,2021,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铷原子钟,0,0,0,2,企业
国网福建省电力有限公司,中国,福州市,2021,1,5,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发,0,1,0,0,企业
复旦大学,中国,上海市,2021,2,11,5.5,量子传感；量子计算硬件,量子传感器/精密测量；量子计算硬件/量子芯片,光调制器；原子干涉；离子阱,0,2,0,0,学校
天津中新药业集团股份有限公司达仁堂制药厂,中国,天津市,2021,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,企业
天津华慧芯科技集团有限公司,中国,天津市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,企业
天津大学,中国,天津市,2021,2,8,4.0,量子基础概念,其他量子相关/待复核,叠加态；量子态,0,0,2,0,学校
太原理工大学,中国,太原市,2021,2,15,7.5,量子计算；量子通信与安全,量子计算系统；量子通信与安全,量子计算；量子通信,1,1,0,0,学校
如般量子科技有限公司,中国,绍兴市,2021,59,370,6.271186440677966,量子计算；量子通信与安全,量子计算系统；量子通信与安全,QKD；量子密钥；量子网络；量子计算；量子计算机；量子通信,13,46,0,0,企业
姜年权,中国,温州市,2021,1,16,16.0,量子计算,量子计算系统,保真度；量子态；量子比特；量子计算；量子计算机,1,0,0,0,个人
安徽大学,中国,合肥市,2021,2,13,6.5,量子传感；量子通信与安全,量子计量/时间频率/PNT候选；量子通信与安全,量子密钥；量子密钥分发；量子通信；频率标准,1,0,0,1,学校
安徽建筑大学,中国,合肥市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,学校
